ref_id,stance,effectiveness,risks,distribution,mandatory,politics,pharma,ct,child,other,other_merged,cate_in,cate_bt
1475505676583636992,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB_inf
1463237734840115215,2,0,0,0,0,1,0,0,0,0,0,B_inf,AB_inf
1447930681254981639,2,1,0,0,0,0,0,0,0,0,0,B_inf,AB_inf
1472160538520178695,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB_inf
1389575614538129420,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB_inf
1380864036368171012,2,0,0,0,0,1,0,0,0,Versuchskaninchen,0,B_inf,AB_inf
1463594061579829249,1,0,1,0,0,0,0,0,0,Versuchskaninchen,0,B_inf,AB_inf
1466781946890100746,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB_inf
1272442213990105088,3,0,1,0,1,1,0,1,0,0,mocking querdenker,B_inf,AB_inf
1365759762957291520,1,1,1,0,0,0,0,0,0,0,0,B_inf,AB_inf
1394514010918297605,2,0,1,0,0,0,0,0,1,0,0,B_inf,AB_inf
1428727211931185154,2,0,0,0,1,0,0,0,0,0,0,B_inf,AB_inf
1468273778983583753,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB_inf
1299432138203422720,0,0,0,0,1,0,0,0,1,0,0,B_inf,AB_inf
1371392465379459073,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB_inf
1462659683567681537,3,0,0,0,0,0,0,0,0,mocking,mocking querdenker,B_inf,AB_inf
1394516725425709056,1,1,0,0,0,0,0,0,1,0,0,B_inf,within
1428716448642387972,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB_inf
1468356494953439240,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB_inf
1469960884663562241,2,0,0,0,1,0,0,0,0,0,nichtgeimpfter,B_inf,AB_inf
1460338043341135875,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB_inf
1469279138389315584,1,0,1,0,0,0,0,0,1,0,0,B_inf,AB_inf
1371061057926615041,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB_inf
1394618159970361344,1,0,0,0,0,0,0,0,1,0,0,B_inf,AB_inf
1394524024290648068,1,0,0,0,0,0,0,0,1,0,0,B_inf,AB_inf
1472159063899258887,1,0,1,0,0,0,0,0,0,criticize_gegen,criticize querdenker,B_inf,AB_inf
1435248140454608897,1,0,1,0,0,0,0,0,0,Versuchskaninchen,mocking querdenker,B_inf,AB_inf
1394564677007511552,1,1,0,0,0,0,0,0,1,0,0,B_inf,AB_inf
1461738119150120961,2,0,0,0,0,1,0,0,0,0,0,B_inf,AB_inf
1464154462772158465,2,1,0,0,0,1,0,0,0,current_situation,new variation alarm,B_inf,AB_inf
1371774066957430784,2,0,1,0,0,0,0,0,0,anti_corona,nocovid,B_inf,AB_inf
1429031721752743937,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB_inf
1359214703273254917,2,0,0,0,0,0,1,0,0,mocking,mocking querdenker,B_inf,AB_inf
1452559169362538504,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB_inf
1371520715938275328,1,0,1,0,0,1,0,0,0,0,0,B_inf,AB_inf
1474082404209934345,1,0,0,0,0,0,0,0,0,mocking,mocking impfgenener,B_inf,AB_inf
1461751574389268485,2,0,1,0,0,1,0,0,0,0,0,B_inf,AB_inf
1375006840044580864,2,0,0,1,0,1,0,0,0,0,0,B_inf,AB_inf
1457626289733521411,2,1,0,0,0,0,0,0,0,0,0,B_inf,AB_inf
1255745471529791494,2,0,0,0,1,0,0,0,0,0,Reichsimpfgesetz,B_inf,AB
1297104531550089216,3,0,0,0,0,0,0,1,1,0,QAnon,B_inf,within
1462749211930341377,3,0,0,0,1,0,0,0,0,0,0,B_inf,within
1260135944826638336,3,0,0,0,0,0,0,1,0,Versuchskaninchen,0,B_inf,AB
1405205201615794185,1,0,1,0,0,0,0,0,1,0,0,B_inf,AB
1371851636482715655,2,0,0,0,0,1,0,0,1,0,impfstopp,B_inf,AB
1456552250990637060,3,0,0,0,0,0,1,1,0,0,mocking querdenker,B_inf,AB
1362511252224937992,3,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1362744276136910851,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1261210724652761088,3,0,0,0,1,0,0,1,0,0,mocking querdenker,B_inf,AB
1394523108971794432,1,0,0,0,0,0,0,0,1,mocking,mocking impfgenener,B_inf,AB
1471393438696366082,1,1,0,0,0,0,0,0,0,fake,gefälschten Impfpässen,B_inf,AB
1470330353252503556,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1451163870702313483,2,0,0,0,0,1,1,0,0,0,0,B_inf,AB_inf
1403666184382394368,1,0,0,0,0,0,1,0,0,0,0,B_inf,AB
1320403767947366406,3,0,0,0,1,0,0,0,0,0,mocking querdenker,B_inf,AB
1419606772214599683,2,0,0,1,0,1,0,0,0,0,ungleichheit,B_inf,within
1465403005453447184,3,0,0,0,1,0,0,0,0,0,mocking impfgenener,B_inf,AB
1337688678488006656,2,0,0,0,0,0,1,0,0,0,0,B_inf,AB
1370154264560041985,1,1,1,0,0,1,0,0,0,0,impfstopp,B_inf,AB
1434429132507697159,3,0,1,0,0,0,0,0,0,0,mocking impfgenener,B_inf,AB
1428722733047746566,3,0,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1455813682601078790,1,1,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1428838301214126082,1,0,0,0,0,1,0,0,0,g,Kostenpflicht test,B_inf,AB
1457665267031547908,2,1,0,0,0,1,0,0,0,0,responsibility,B_inf,AB
1369516701059014656,2,0,0,0,0,1,0,0,0,0,politics criticism,B_inf,AB
1467231526341558277,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1415301332672655364,1,0,0,0,0,0,1,0,0,criticize_gegen,"criticize querdenker, Sputnik",B_inf,AB
1420794202078724099,2,1,0,0,0,0,0,0,0,media,news ad,B_inf,AB
1450860884155412481,2,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1452211432695779329,3,0,1,0,0,0,0,1,0,0,mocking querdenker,B_inf,AB
1428956745871892481,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1470004130097909768,3,0,1,0,0,0,0,0,0,0,0,B_inf,within
1293082980634841088,2,0,0,0,0,0,0,1,0,anti_corona,invented covid,B_inf,AB
1448895240140738577,2,0,0,0,0,0,0,0,0,fake,fake vax,B_inf,within
1394525857956483077,2,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1362656658053292034,3,0,1,0,0,0,0,0,0,0,mocking impfgenener,B_inf,AB
1359491041582321671,2,0,0,0,0,1,0,0,0,0,0,B_inf,AB
1345655977606074368,1,0,1,0,0,0,0,0,0,Versuchskaninchen,0,B_inf,within
1432369673534939136,1,0,0,0,0,0,0,0,0,fav_pos,fav position,B_inf,AB
1383442536367198219,1,0,0,0,0,1,0,0,0,0,new variation alarm,B_inf,AB
1301879023514062848,2,0,0,0,0,0,0,0,0,criticize_left,link right,B_inf,within
1394214993403465729,3,0,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1448329213413662723,1,0,0,0,0,0,1,0,0,0,0,B_inf,AB
1428495011704934407,1,0,0,0,0,0,0,0,0,0,new variation alarm,B_inf,AB
1457440225123307528,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1459821247404122113,3,1,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1472589282493833218,1,1,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1455464768861609985,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1467259709870780417,1,1,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1358909750524735491,2,1,0,0,0,1,0,0,0,0,0,B_inf,AB
1394518484302929920,1,0,0,0,0,0,0,0,1,criticize_gegen,criticize impfgegner,B_inf,AB
1461034160483708933,1,1,0,0,0,0,0,0,0,0,0,B_inf,within
1467040049179021321,1,0,0,0,0,1,1,0,0,0,0,B_inf,AB
1464014997554667524,1,0,0,1,0,1,0,0,0,0,0,B_inf,AB
1444410299520532486,3,0,0,0,1,0,0,0,0,0,impfdiscirminierung,B_inf,within
1471288738009518081,1,1,0,0,0,0,0,0,1,0,0,B_inf,within
1373662821536399365,2,0,0,0,0,1,0,0,0,0,politician,B_inf,AB
1334024123333349376,1,1,0,0,0,0,0,0,0,Versuchskaninchen,0,B_inf,AB
1374793359424958464,3,0,0,0,0,0,0,0,0,mocking,mocking querdenker,B_inf,within
1389835396146737155,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1463816117751853062,1,0,0,0,1,0,0,0,1,0,0,B_inf,within
1412729715601838085,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1299967178335232001,2,0,0,0,0,0,0,1,0,0,5g,B_inf,AB
1438534158335324164,3,0,0,0,1,0,0,0,0,criticize_gegen,criticize querdenker,B_inf,within
1464249266336157696,3,0,0,0,0,0,1,0,0,0,mocking impfgenener,B_inf,AB
1472216433484570624,3,0,0,0,1,0,1,0,0,0,mocking impfgenener,B_inf,AB
1438138038522109954,3,0,1,0,0,0,0,1,0,0,mocking impfgenener,B_inf,AB
1341157317061079052,3,0,1,0,1,1,0,1,0,criticize_gegen,criticize querdenker,B_inf,AB
1372547079453704195,2,0,0,1,0,0,0,0,0,0,Impfdesaster,B_inf,AB
1345346279640018945,1,0,1,0,0,0,0,0,0,Versuchskaninchen,Versuchskaninchen,B_inf,AB
1428711495064506374,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1371478632372264960,2,0,0,0,0,1,0,0,0,0,0,B_inf,AB
1405108495058354180,2,0,0,0,1,1,0,1,0,0,0,B_inf,AB
1421398014984347658,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1367129336701190146,1,0,0,1,0,0,0,0,0,0,Impfdesaster,B_inf,AB
1459794969791799296,2,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1476282767193387008,3,0,0,0,1,0,0,0,0,0,mocking querdenker,B_inf,within
1461780707651510272,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1438068521670434824,1,0,1,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1362433763486158849,1,0,0,0,0,0,0,0,0,media,criticize media,B_inf,AB
1311573592908460032,3,0,0,0,0,0,1,0,0,0,0,B_inf,AB
1388957110797537280,2,0,0,0,1,1,0,0,1,0,0,B_inf,within
1257767785574420481,3,0,0,0,0,1,0,1,0,criticize_gegen,criticize querdenker,B_inf,AB
1374372413043994631,3,0,0,0,0,1,0,0,0,0,Impfdesaster,B_inf,AB
1459905163414622216,1,0,0,0,1,1,0,0,0,0,0,B_inf,AB
1338590608441610245,2,0,0,0,0,0,1,0,0,0,0,B_inf,AB
1362689899133034496,3,0,1,0,0,0,0,0,0,0,mocking impfgenener,B_inf,AB
1354397180707155977,2,0,0,1,0,0,1,0,0,0,0,B_inf,AB
1414585838843744257,2,0,0,0,0,0,1,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1438062139181314050,3,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1362687090115379202,3,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1447826686033240067,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1419238595685146624,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1367920201451372544,2,0,0,1,0,0,0,0,0,0,Impfdesaster,B_inf,AB
1298504529151963136,2,0,0,0,0,0,0,0,0,criticize_gegen,criticize querdenker,B_inf,AB
1444624541230194689,3,0,1,0,0,0,0,0,0,0,0,B_inf,within
1452251554334052360,3,0,1,0,0,0,0,0,0,0,mocking querdenker,B_inf,AB
1419634429295747076,3,0,0,0,1,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1453808890437677065,2,1,0,0,0,1,0,0,0,g,test Pflicht,B_inf,AB
1242435187025285120,2,0,0,0,0,0,1,0,0,0,0,B_inf,AB
1371490890846441472,2,0,1,0,0,1,1,0,0,0,responsibility,B_inf,AB
1356316788930334721,1,0,1,0,0,0,0,0,0,0,0,B_inf,within
1336348373851451394,1,1,0,0,1,0,0,0,0,0,0,B_inf,AB
1419715310580641800,2,0,0,0,1,0,0,0,0,0,impfdiscirminierung,B_inf,AB
1384505956655112194,1,1,0,0,0,1,0,0,0,0,0,B_inf,AB
1261397747040731138,3,0,0,0,0,0,0,1,0,0,mocking querdenker,B_inf,AB
1376125074659553282,2,0,0,0,0,1,0,0,0,Versuchskaninchen,0,B_inf,AB
1462536715990614021,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1394526000839630849,1,1,0,0,0,0,0,0,1,0,0,B_inf,AB
1389813233360510976,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1437430616996388868,2,1,0,0,0,1,0,0,0,0,0,B_inf,AB
1438091329217732615,2,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1410524656679915520,1,0,0,0,1,1,0,1,0,0,russia,B_inf,AB
1434197502455132160,2,0,0,0,0,0,0,0,1,Versuchskaninchen,0,B_inf,AB
1257254822618816512,2,0,0,0,1,0,0,1,0,0,0,B_inf,within
1262006877170393090,2,0,0,0,0,0,0,0,0,0,0,B_inf,AB
1457285980688470016,3,0,0,0,0,0,1,0,0,0,0,B_inf,AB
1366845760537559040,1,0,0,1,0,1,0,0,0,0,Impfdesaster,B_inf,AB
1452892560133865472,2,0,1,0,0,1,1,0,0,0,responsibility,B_inf,AB
1357369606713839618,2,0,0,0,1,0,0,0,0,criticize_gegen,criticize querdenker,B_inf,within
1459866554854690820,2,0,0,0,0,0,0,0,1,0,0,B_inf,AB
1419728769737179148,3,0,1,0,0,0,0,0,1,criticize_gegen,criticize querdenker,B_inf,within
1368073154317459457,3,0,0,0,1,0,0,0,0,0,mocking querdenker,B_inf,AB
1459056487146430465,1,1,0,0,0,1,0,0,0,0,0,B_inf,AB
1256892421834752001,3,0,0,0,0,0,0,1,0,0,mocking querdenker,B_inf,within
1434088989703778305,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1394558935928016902,3,0,0,0,0,0,0,0,1,0,0,B_inf,AB
1370000210814976002,1,0,0,0,0,0,0,0,0,fav_pos,fav position,B_inf,AB
1367142412754300931,2,0,0,1,0,0,0,0,0,0,0,B_inf,within
1345713272604004352,2,0,0,1,0,0,0,0,0,0,other countries,B_inf,AB
1369935163514306560,2,0,0,1,0,0,0,0,0,0,0,B_inf,AB
1435256328277184520,1,1,0,0,0,0,0,0,0,fav_pos,fav position,B_inf,AB
1375737598296068099,2,0,0,1,0,1,0,0,0,0,Impfdesaster,B_inf,AB
1367140878096203778,2,0,0,1,0,1,0,0,0,0,0,B_inf,AB
1474987421372608515,1,0,0,0,1,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1368576438585147403,2,0,0,1,0,1,0,0,0,0,parties,B_inf,AB
1371507151022264320,1,0,1,0,0,1,0,0,1,0,0,B_inf,AB
1439264506723639302,3,1,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1369761454791004166,1,0,0,1,0,1,0,0,0,0,Impfdesaster,B_inf,AB
1438059043541692419,2,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1466419278412931079,3,0,0,0,0,0,1,1,1,0,mocking querdenker,B_inf,AB
1431286032796983303,0,0,0,0,0,0,0,0,1,Versuchskaninchen,0,B_inf,within
1428747459614887941,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1469654013083852803,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1463044967354585091,2,0,0,0,1,1,0,0,0,0,0,B_inf,AB
1428989033330450432,1,1,0,0,0,1,0,0,0,0,0,B_inf,AB
1468675326322610176,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1470353483652124676,3,0,1,0,0,1,0,0,0,0,mocking impfgenener,B_inf,AB
1471139160127909888,2,1,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,AB
1438219765550620675,2,0,1,0,0,0,0,0,0,criticize_gegen,criticize querdenker,B_inf,within
1463164416300666890,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1383084501149093888,2,0,0,0,0,1,1,0,0,0,haus Ausweis,B_inf,AB
1447813364416139264,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1367034277745946627,1,0,0,1,0,1,0,0,0,0,0,B_inf,AB
1374252826969391104,2,0,0,0,0,1,0,0,0,0,0,B_inf,AB
1460714150653579265,2,0,0,0,0,1,0,0,0,0,Impfdesaster,B_inf,AB
1431273005372645381,1,1,0,0,0,0,0,0,0,0,0,B_inf,within
1468280382856572935,1,0,0,0,1,0,0,0,0,0,0,B_inf,AB
1270371658315038722,3,0,0,0,1,1,0,0,0,0,parties,B_inf,AB
1438038581440913411,3,0,1,0,0,0,0,0,0,0,mocking querdenker,B_inf,AB
1350164195682222087,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1452232487523000321,1,0,1,0,0,0,0,0,0,0,0,B_inf,within
1462059331629850628,1,1,0,0,0,0,0,0,0,criticize_gegen,criticize impfgegner,B_inf,within
1367818217167728641,2,0,0,1,0,1,0,0,0,0,0,B_inf,AB
1438093867715383302,1,0,1,0,0,0,0,0,0,0,0,B_inf,within
1434104649099919369,1,0,1,0,0,0,0,0,0,0,0,B_inf,AB
1351838178865520640,3,0,0,0,0,0,0,1,1,criticize_gegen,criticize querdenker,B_inf,AB
1427863351531606018,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1428759676846493696,1,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1362378355828531201,1,0,0,0,0,1,1,0,0,0,eu pharma,B_inf,AB
1375063521759739904,1,0,0,0,0,1,0,0,0,0,laschet,B_inf,AB
1368493830543147011,1,0,0,1,0,1,0,0,0,0,Impfdesaster,B_inf,within
1325221365121736704,0,0,0,0,1,0,0,0,0,0,0,B_inf,within
1472610342966542338,2,0,0,0,0,0,0,0,0,unklar,future,B_inf,AB
1446720158320443395,2,1,0,0,0,0,0,0,0,0,0,B_inf,AB
1455593881182015494,1,0,0,0,0,0,0,0,0,0,0,B_inf,AB
1257551418732527616,3,0,0,0,0,0,0,1,0,0,0,B_inf,AB
1434539170568065034,3,0,0,0,0,0,1,0,0,0,mocking impfgenener,B_inf,within
1461649858285211648,2,0,0,1,0,0,0,0,0,0,0,B_inf,AB
1450778872627220482,2,1,0,0,0,1,0,0,0,0,0,B_inf,AB
1394531915873538052,3,0,0,0,0,0,0,0,1,criticize_left,criticize left,B_inf,AB
1402652991237283842,2,0,0,0,0,1,1,0,0,0,eu pharma,B_inf,AB
1471961193363484678,2,1,0,1,0,0,0,0,0,0,0,B_inf,AB
