Keyword,Number of tweets,%
impftod,15274,0.9%
impfapartheid,40126,2.3%
impfschaden,54956,3.2%
bigpharma,25590,1.5%
impfteuchinsknie,99066,5.7%
impfzwang,327013,18.9%
ploetzlichundunerwartet,67835,3.9%
impftote,39080,2.3%
ichmachdanichtmit,13449,0.8%
impfversagen,48408,2.8%
impfdurchbruch,64985,3.8%
impfdesaster,48215,2.8%
impferpressung,9970,0.6%
ichlassemichnichtimpfen,10046,0.6%
gegenimpfpflicht,13593,0.8%
versuchskaninchen,74710,4.3%
impfdiskriminierung,17545,1.0%
impffaschismus,6446,0.4%
pfizergate,6721,0.4%
zwangsimpfung,69517,4.0%
neinzurimpfpflicht,16886,1.0%
impfabo,21290,1.2%
impfwahn,11022,0.6%
impfdruck,38278,2.2%
novaccinemandates,15592,0.9%
pharmalobby,25710,1.5%
impfdurchbrüche,130508,7.6%
impfeuchmehr,2,0.0%
tödlicheimpfung,5,0.0%
impfpropaganda,22990,1.3%
impfterrorismus,886,0.1%
impfmassaker,288,0.0%
impffreiheit,3767,0.2%
impffaschisten,2791,0.2%
keinezwangsimpfungen,5,0.0%
niemandhatdieabsichteineimpfpflichteinzuführen,34,0.0%
reichsimpfgesetz,3342,0.2%
impfstoffnarrativ,5,0.0%
gegenimpflicht,48,0.0%
impfkatastrophe,524,0.0%
ungeimpftehelfenungeimpften,30,0.0%
tyrraneiderungeimpften,17,0.0%
impftot,1039,0.1%
individuelleimpfentscheidung,27,0.0%
impfenkanntöten,40,0.0%
impffrei,8142,0.5%
merkelimpfen,18,0.0%
impfsucht,197,0.0%
gemeinsamgegenimpfpflicht,5,0.0%
impfreue,127,0.0%
impftheater,435,0.0%
gegendenimpfwahn,8,0.0%
impflobby,2106,0.1%
impfenohnezwang,2,0.0%
impfenistfreiheit,104,0.0%
impffolgen,12419,0.7%
impftrottel,657,0.0%
cimpfung,275,0.0%
impfenistcash,105,0.0%
impfdesater,90,0.0%
duchimpfen,49,0.0%
impfeuchinsknie,563,0.0%
impfenundumfallen,4,0.0%
impferpressungen,203,0.0%
neinzuimpfen,18,0.0%
impfteuchdochselber,4587,0.3%
keinimpfzwang,938,0.1%
impfgenozit,37,0.0%
impfzang,190,0.0%
impfdiktators,8,0.0%
impftotalitarismus,753,0.0%
impfrassismus,532,0.0%
impfterror,4767,0.3%
impfzwangdurchdiehinzertuer,12,0.0%
stopptimpfung,9,0.0%
impfagenda,2341,0.1%
antiimpfs,594,0.0%
ungeimpftewerdendiskriminiert,25,0.0%
impfwerbeaktionen,4,0.0%
impfregime,1473,0.1%
mrnaistkeinimpfstoff,8,0.0%
impfstoffapartheit,24,0.0%
sozialeimpfpflicht,15,0.0%
impfenschütztnicht,595,0.0%
lebengehtohneimpfen,13,0.0%
impfluenzer,4567,0.3%
einnormaleskindmagimpfennicht,8,0.0%
stopimpfung,14,0.0%
impfstop,2408,0.1%
sogehtmassenimpfung,7,0.0%
impfentötet,784,0.0%
impfzwangneindanke,25,0.0%
keineimpfung,221,0.0%
impftober,5,0.0%
impfmobbing,1808,0.1%
impfzwangdurchdiehintertuer,550,0.0%
impftapartheid,39,0.0%
impfenmachtfrei,2550,0.1%
zusammengegenimpfzwang,724,0.0%
impfteuchindentod,23,0.0%
kampfdemimpfzwang,5,0.0%
zwangsimpfungnein,3,0.0%
impfopfer,10509,0.6%
impftoter,1885,0.1%
impfländern,144,0.0%
diskriminierungungeimpfter,11,0.0%
lassteuchnichtimpfen,35,0.0%
wirlassenunserkindnichtimpfen,15424,0.9%
totimpfenmussaufhören,35,0.0%
impfkoenig,135,0.0%
stopptdenimpffaschismus,12,0.0%
netzwerkimpfentscheid,85,0.0%
impfpflichtmussweg,582,0.0%
impfinitystein,2,0.0%
impfstreber,214,0.0%
impfmord,508,0.0%
impftyrannei,86,0.0%
impfpflichtnie,26,0.0%
stoppimpfwahnsinn,5,0.0%
impfvorbehalt,91,0.0%
impfrebell,496,0.0%
plandemiedergeimpften,7,0.0%
impfstoppjetzt,72,0.0%
impfgate,2128,0.1%
impfwahnsinn,3789,0.2%
